City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,San Cristobal,VE,2022-06-28 22:30:51,7.7669,-72.225,78.98,83,90,1.92
245,Matagami,CA,2022-06-28 22:30:52,49.7502,-77.6328,62.71,82,75,4.61
246,Lata,PT,2022-06-28 22:30:52,40.1629,-8.3327,54.23,98,4,2.84
247,Kirakira,SB,2022-06-28 22:30:52,-10.4544,161.9205,83.52,71,68,11.1
248,Nizwa,OM,2022-06-28 22:30:53,22.9333,57.5333,85.26,60,8,0.85
249,Sola,VU,2022-06-28 22:30:53,-13.8833,167.55,80.67,77,36,19.73
250,Shanghai,CN,2022-06-28 22:26:35,31.2222,121.4581,84.06,78,0,6.71
251,Kalabo,ZM,2022-06-28 22:30:54,-14.97,22.6814,50.07,86,10,5.84
252,Necochea,AR,2022-06-28 22:26:32,-38.5473,-58.7368,51.21,62,34,6.33
253,Mangrol,IN,2022-06-28 22:30:55,21.1167,70.1167,83.57,81,100,15.75
254,Waw,SS,2022-06-28 22:30:55,7.7029,27.9953,69.15,97,100,3.56
255,Touba,CI,2022-06-28 22:30:56,8.2833,-7.6833,70.92,95,93,2.46
256,Haines Junction,CA,2022-06-28 22:30:56,60.7522,-137.5108,80.55,32,67,5.75
257,Whitehorse,CA,2022-06-28 22:30:13,60.7161,-135.0538,75.97,33,75,3.44
258,Esperance,AU,2022-06-28 22:30:57,-33.8667,121.9,55.74,76,94,9.62
259,Cayenne,GF,2022-06-28 22:30:09,4.9333,-52.3333,77.04,1,0,2.3
260,Mehamn,NO,2022-06-28 22:30:57,71.0357,27.8492,60.75,88,0,0.0
261,Fortuna,US,2022-06-28 22:30:58,40.5982,-124.1573,72.93,62,0,5.01
262,Wukari,NG,2022-06-28 22:30:58,7.85,9.7833,73.94,89,89,2.93
263,Port Augusta,AU,2022-06-28 22:30:59,-32.5,137.7667,49.86,40,100,6.33
264,Meulaboh,ID,2022-06-28 22:30:59,4.1363,96.1285,76.1,86,94,3.49
265,Teknaf,BD,2022-06-28 22:31:00,20.8624,92.3058,79.0,89,100,7.96
266,Hailey,US,2022-06-28 22:31:00,43.5196,-114.3153,92.88,20,20,8.05
267,Qaqortoq,GL,2022-06-28 22:31:01,60.7167,-46.0333,42.35,94,100,1.99
268,Hualmay,PE,2022-06-28 22:31:02,-11.0964,-77.6139,63.73,81,41,5.17
269,Yekaterinovka,RU,2022-06-28 22:31:04,52.0508,44.3451,50.77,83,6,7.0
